prod_code,prod_name,prod_url
BP_030,[네쇼라 단독 상품] 비에날퀸 6개월 + 비에날씬 10포,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=7679491257&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7679491257&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_031,[네쇼라 단독 상품] 비에날씬 플러스 6개월 + 비에날씬 10포,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=7679503746&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7679503746&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_032,BNR17 비에날씬 다이어트 유산균 모유유래 체지방감소 3개월 캡슐,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=4755872512&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4755872512&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_033,BNR17 비에날씬플러스 다이어트유산균 모유유래 체지방감소 3개월분말,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=4691840799&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4691840799&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_034,BNR17 비에날퀸 갱년기유산균 회화열매 모유유래유산균 3개월 캡슐,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=4832896786&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4832896786&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_035,"관절엔 아나파랙틴 3개월 (천심련추출물, 비타민K, 비타민D,안드로그라폴라이드)",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=11360449716&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F11360449716&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_036,"관절엔 아나파랙틴 1개월 (천심련추출물, 비타민K, 비타민D,안드로그라폴라이드)",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=11382925158&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F11382925158&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_037,"[네쇼라 단독 상품] 아나파랙틴 밤 1+1 (바르는 천심련, 파랙틴)",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=10222975495&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F10222975495&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_038,비에날 굿브레스 1box,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=9871301215&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F9871301215&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_039,에트나케어 ROCH 피부건강 당귤농축분말 레드오렌지추출물 헤스페리딘 3개월,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=10927212363&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F10927212363&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_040,다이어트 유산균 비에날씬 프로틴 28포(텀블러 증정),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=6995425401&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F6995425401&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_041,"에이스바이옴 멀티비타민 3box, 6개월분",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=10769639189&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F10769639189&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_042,[7월 타임딜] 비에날씬 플러스 10포,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=12137587022&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F12137587022&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_043,[선착순 이벤트1] 비에날씬 3개월+비에날씬 1개월,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=12137587969&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F12137587969&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_044,[선착순 이벤트2] 비에날씬 플러스 3개월+비에날씬 플러스 1개월,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1692648&channelProductNo=12137588937&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F12137588937&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_061,BNR17 다이어트 유산균 비에날씬 프로틴 1box(5팩),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=292522&channelProductNo=5826784472&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5826784472&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_062,BNR17 다이어트 유산균 비에날씬 프로틴 6box (6박스X5팩),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=292522&channelProductNo=5947453811&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5947453811&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_061,BNR17 다이어트 유산균 비에날씬 프로틴 1box(5팩),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=292522&channelProductNo=5826784472&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5826784472&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_062,BNR17 다이어트 유산균 비에날씬 프로틴 6box (6박스X5팩),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=292522&channelProductNo=5947453811&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5947453811&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_065,BNR17 비에날씬 다이어트 유산균 모유유래 체지방감소 3개월 캡슐,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1460284&channelProductNo=4755872512&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4755872512&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_066,BNR17 비에날퀸 갱년기유산균 회화열매 모유유래유산균 3개월 캡슐,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1460284&channelProductNo=4832896786&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4832896786&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_067,BNR17 비에날씬플러스 다이어트유산균 모유유래 체지방감소 3개월분말,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1460284&channelProductNo=4691840799&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4691840799&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_068,[네쇼라 단독 상품] 비에날씬 6개월 + 비에날씬 10포,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1460284&channelProductNo=7679486078&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7679486078&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_069,[네쇼라 단독 상품] 비에날퀸 6개월 + 비에날씬 10포,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1460284&channelProductNo=7679491257&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7679491257&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_070,[네쇼라 단독 상품] 비에날씬 플러스 6개월 + 비에날씬 10포,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1460284&channelProductNo=7679503746&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7679503746&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_071,"[네쇼라 단독 상품] 관절엔 아나파랙틴 3개월+1개월 (파랙틴, 천심련추출물, NAG, 비타민D 함유, 안드로그라폴라이드, 관절건강+연골건강+뼈건강)",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1460284&channelProductNo=10222968411&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F10222968411&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
